comment,food_rating,delivery_rating,approval
Amazing delivery speed and delicious food!,5,5,1
terrible terribleeeee never use this service!!!!,1,1,0
Great service and very tasty meal!,5,4,1
The delivery was on time and the food was superb.,5,4,1
The food was okay. Nothing special.,3,4,1
Delivery took a bit long but the food was good.,4,2,1
Food was average but delivery time could have been better.,3,2,1
It was a normal experience: food and delivery were acceptable.,3,3,1
Food tasted fine but delivery was slightly late.,4,1,1
Delivery took forever and the food was undercooked.,2,1,1
Very disappointing! The food arrived cold and tasteless!!.,1,1,1
Terrible! The delivery was so delayed that the food was completely cold and ruined! ,2,1,1
The food arrived very quickly but I didn't like it at all.,1,5,1
The delivery was fast but I wouldn't recommend the food,2,4,1
have a look to my youtube channel https://www.youtube.com/fakechannel,3,2,0
shit,1,1,0
earn 5k per day following https://www.ponzischeme.com/crypto,5,5,0
awesomeee! all perfect,5,5,1
Nice service. Food was good,4,4,1
I'd suggest to manage the delivery better. The food arrived cold.,4,2,1
Excellent food and prompt delivery! Highly recommended.,5,5,1
Food was average and the delivery took too long.,3,2,1
The delivery was quick but the food lacked flavor.,3,4,1
Absolutely horrible! The food was cold and stale upon arrival.,1,1,1
Very satisfied with my order! Will definitely order again.,5,4,1
The meal was decent but delivery was late.,3,2,1
Disappointing experience overall. I expected better.,2,3,1
Scam service! Just a way to take your money!,1,1,0
garbage,1,1,0
https://www.ponzischeme.com/crypto,4,4,0
